Gene	Name	Description	Fold Change	Adjusted p-values	Base Mean	log2FoldChange
PA4300	tadC	TadC	-8.85	1.71E-05	78.34	-3.15
PA4301	tadB	TadB	-4.63	0.0003985027	87.65	-2.21
PA4302	tadA	TadA ATPase	-10.95	4.79E-07	191.06	-3.45
PA4303	tadZ	TadZ	-7.87	3.73E-06	144.96	-2.98
PA4304	rcpA	RcpA	-5.02	0.0003065269	254.35	-2.33
PA4305	rcpC	RcpC	-4.00	0.0055582765	257.93	-2.00
PA4306	flp	Type IVb pilin, Flp	-41.22	5.10E-13	601.54	-5.37
PA4307	pctC	chemotactic transducer PctC	1.89	0.000169519	785.76	0.92
PA4309	pctA	chemotactic transducer PctA	1.61	0.0066100466	589.39	0.69
PA4310	pctB	chemotactic transducer PctB	2.27	3.01E-12	1681.11	1.18
PA4311		conserved hypothetical protein	-8.94	2.50E-11	235.44	-3.16
PA4312		conserved hypothetical protein	-3.39	8.35E-06	143.25	-1.76
PA4314	purU1	formyltetrahydrofolate deformylase	4.74	4.50E-29	2361.95	2.24
PA4317		hypothetical protein	1.61	0.0292469965	1094.58	0.69
PA4322		conserved hypothetical protein	-2.63	0.0021513185	282.60	-1.40
PA4324		hypothetical protein	1.56	5.36E-05	224.16	0.64
PA4325		hypothetical protein	1.80	0.0013414267	139.65	0.85
PA4326		hypothetical protein	1.86	0.023820362	125.25	0.89
PA4327		hypothetical protein	-2.14	0.0001115677	68.01	-1.09
PA4329	pykA	pyruvate kinase II	-1.86	5.45E-08	1202.47	-0.89
PA4330		probable enoyl-CoA hydratase/isomerase	-1.86	0.0001890451	88.44	-0.90
PA4331		probable ferredoxin reductase	-2.47	1.90E-05	94.22	-1.30
PA4332	sadC	SadC	-2.48	1.84E-08	193.01	-1.31
PA4333		probable fumarase	4.53	1.88E-62	1821.23	2.18
PA4335		hypothetical protein	-2.23	6.79E-08	126.50	-1.16
PA4336		conserved hypothetical protein	-2.45	6.60E-08	196.63	-1.29
PA4338		hypothetical protein	-5.36	3.56E-12	107.90	-2.42
PA4345		hypothetical protein	-2.77	8.96E-08	114.96	-1.47
PA4346		hypothetical protein	-4.78	4.50E-10	22.70	-2.26
PA4348		conserved hypothetical protein	12.64	0.0008243471	646.95	3.66
PA4349		hypothetical protein	-1.58	0.0183190742	100.70	-0.66
PA4352		conserved hypothetical protein	3.21	0.0180084048	503.16	1.68
PA4353		conserved hypothetical protein	1.51	0.0239866071	80.45	0.59
PA4355	pyeM	PyeM	2.09	0.0306000077	34.34	1.06
PA4358	feoB	FeoB	6.04	0.0024130809	201.79	2.60
PA4359		conserved hypothetical protein	19.68	0.0012527542	68.42	4.30
PA4360		hypothetical protein	1.98	1.64E-09	291.32	0.99
PA4362		hypothetical protein	-5.28	2.43E-06	124.39	-2.40
PA4363	iciA	inhibitor of chromosome initiation IciA	1.61	0.0393033079	64.88	0.69
PA4365	lysE	Lysine efflux permease	4.20	0.0085285222	7.06	2.07
PA4367	bifA	BifA	-2.22	1.07E-19	300.08	-1.15
PA4368		hypothetical protein	2.03	1.04E-07	194.85	1.02
PA4371		hypothetical protein	2.79	1.10E-18	584.13	1.48
PA4374	mexV	Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexV	1.65	0.0024882584	393.82	0.72
PA4375	mexW	Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexW	-2.09	1.72E-08	292.36	-1.07
PA4377		hypothetical protein	-2.48	0.0002601093	143.18	-1.31
PA4378	inaA	InaA protein	2.05	2.35E-13	301.06	1.04
PA4384		hypothetical protein	-2.96	3.55E-05	43.71	-1.56
PA4386	groES	GroES protein	-11.99	6.47E-11	3645.65	-3.58
PA4388		hypothetical protein	-1.58	3.14E-05	250.48	-0.66
PA4390		hypothetical protein	2.06	0.0003482593	807.89	1.05
PA4391		hypothetical protein	1.59	0.0231019976	115.41	0.67
PA4395		conserved hypothetical protein	-1.63	0.0230439628	1182.95	-0.71
PA4398		two-component sensor	-1.94	6.06E-09	161.24	-0.95
PA4404		hypothetical protein	2.17	5.12E-08	630.79	1.12
PA4406	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	1.61	0.0028503266	7269.72	0.68
PA4407	ftsZ	cell division protein FtsZ	-2.38	0.0041193053	4775.61	-1.25
PA4415	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	2.14	0.0003327589	1014.60	1.10
PA4418	ftsI	penicillin-binding protein 3	3.00	2.66E-15	2032.96	1.58
PA4419	ftsL	cell division protein FtsL	2.22	1.18E-09	252.84	1.15
PA4420		conserved hypothetical protein	2.27	8.18E-12	1535.13	1.18
PA4421		conserved hypothetical protein	2.14	1.54E-05	1143.08	1.10
PA4422		conserved hypothetical protein	2.06	1.91E-10	232.48	1.05
PA4426		conserved hypothetical protein	1.68	2.15E-18	935.17	0.75
PA4427	sspB	stringent starvation protein B	3.29	7.07E-05	558.39	1.72
PA4428	sspA	stringent starvation protein A	6.69	6.47E-12	541.27	2.74
PA4429		probable cytochrome c1 precursor	12.16	1.66E-33	6062.86	3.60
PA4430		probable cytochrome b	6.17	6.66E-17	5431.18	2.62
PA4431		probable iron-sulfur protein	2.89	2.22E-08	2851.20	1.53
PA4432	rpsI	30S ribosomal protein S9	8.89	1.89E-21	10060.74	3.15
PA4433	rplM	50S ribosomal protein L13	7.62	1.50E-22	12620.79	2.93
PA4434		probable oxidoreductase	-3.27	3.20E-35	359.93	-1.71
PA4436		probable transcriptional regulator	2.37	5.79E-07	168.28	1.24
PA4437		hypothetical protein	2.49	0.000271356	43.44	1.31
PA4438		conserved hypothetical protein	2.90	2.59E-16	885.68	1.54
PA4440		hypothetical protein	-1.82	2.45E-08	220.36	-0.86
PA4443	cysD	ATP sulfurylase small subunit	2.72	0.0041689789	771.69	1.44
PA4444	mltB1	soluble and membrane-bound lytic transglycosylases	-1.96	1.12E-09	236.04	-0.97
PA4445		conserved hypothetical protein	1.88	1.10E-06	249.13	0.91
PA4446	algW	AlgW protein	2.64	3.72E-23	561.35	1.40
PA4448	hisD	histidinol dehydrogenase	1.82	4.87E-06	629.52	0.87
PA4449	hisG	ATP-phosphoribosyltransferase	3.01	7.20E-12	1195.44	1.59
PA4450	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.99	1.25E-27	3313.27	1.58
PA4451		conserved hypothetical protein	2.27	4.71E-15	627.74	1.18
PA4455		probable permease of ABC transporter	2.17	6.42E-08	508.31	1.12
PA4456		probable ATP-binding component of ABC transporter	3.12	1.69E-25	1394.43	1.64
PA4457		arabinose-5-phosphate isomerase KdsD	2.14	2.09E-15	1315.97	1.10
PA4458		conserved hypothetical protein	2.04	1.99E-08	458.64	1.03
PA4459	lptC	Lipopolysaccharide export system protein LptC	1.57	0.0120668723	488.88	0.65
PA4460	lptH	LptH	3.69	4.87E-76	1810.76	1.88
PA4461	lptB	Lipopolysaccharide export system ATP-binding protein LptB	1.70	0.0010256208	1229.06	0.76
PA4463		conserved hypothetical protein	-2.81	4.24E-21	2573.67	-1.49
PA4464	ptsN	nitrogen regulatory IIA protein	-2.08	1.97E-10	895.65	-1.05
PA4465		conserved hypothetical protein	-1.93	1.02E-05	790.21	-0.95
PA4466		probable phosphoryl carrier protein	-1.80	3.16E-05	225.44	-0.85
PA4467		hypothetical protein	-6.93	3.33E-05	2063.01	-2.79
PA4468	sodM	superoxide dismutase	-9.24	2.98E-06	3126.17	-3.21
PA4469		hypothetical protein	-7.29	1.81E-05	1361.11	-2.87
PA4470	fumC1	fumarate hydratase	-6.58	2.14E-05	7179.37	-2.72
PA4471		hypothetical protein	-2.87	0.0239064305	689.08	-1.52
PA4472	pmbA	PmbA protein	-1.83	1.22E-13	482.48	-0.87
PA4473		hypothetical protein	1.92	4.05E-08	384.22	0.94
PA4474		conserved hypothetical protein	-2.07	1.52E-10	888.05	-1.05
PA4475		conserved hypothetical protein	-1.76	9.16E-12	346.69	-0.81
PA4478		conserved hypothetical protein	1.95	0.0005166672	281.56	0.96
PA4479	mreD	rod shape-determining protein MreD	4.10	4.30E-14	192.04	2.03
PA4480	mreC	rod shape-determining protein MreC	4.20	8.74E-20	803.15	2.07
PA4481	mreB	rod shape-determining protein MreB	3.01	1.32E-26	2858.44	1.59
PA4482	gatC	Glu-tRNA(Gln) amidotransferase subunit C	2.88	3.37E-18	541.55	1.53
PA4483	gatA	Glu-tRNA(Gln) amidotransferase subunit A	2.31	1.83E-23	2091.95	1.21
PA4484	gatB	Glu-tRNA(Gln) amidotransferase subunit B	2.37	1.17E-08	2308.80	1.25
PA4486		conserved hypothetical protein	-1.51	0.0030639796	109.05	-0.60
PA4489	magD	MagD	-1.84	0.0125291964	1637.98	-0.88
PA4493	roxR	RoxR	-2.29	0.0016335452	491.24	-1.20
PA4495		hypothetical protein	-2.91	3.51E-05	935.74	-1.54
PA4496	dppA1	probable binding protein component of ABC transporter	-6.57	2.20E-06	887.45	-2.72
PA4497	dppA2	probable binding protein component of ABC transporter	-14.64	8.77E-11	247.86	-3.87
PA4500	dppA3	probable binding protein component of ABC transporter	-2.27	0.0088088231	723.02	-1.18
PA4501	opdD	Glycine-glutamate dipeptide porin OpdP	-3.49	0.0042409045	83.30	-1.80
PA4502	dppA4	probable binding protein component of ABC transporter	-5.60	4.83E-08	205.77	-2.49
PA4506	dppF	dipeptide ABC transporter ATP-binding protein DppF	-2.08	0.0040723359	96.31	-1.06
PA4507		hypothetical protein	2.03	0.0016230301	90.30	1.02
PA4512	lpxO1	lipopolysaccharide biosynthetic protein LpxO1	3.06	9.93E-11	508.14	1.61
PA4513		probable oxidoreductase	5.10	1.50E-11	502.07	2.35
PA4514		probable outer membrane receptor for iron transport	2.46	0.0014528234	337.33	1.30
PA4515		conserved hypothetical protein	2.59	2.94E-16	300.32	1.38
PA4519	speC	ornithine decarboxylase	3.21	6.97E-09	1844.20	1.68
PA4520		probable chemotaxis transducer	2.20	0.0005405521	737.38	1.14
PA4523		hypothetical protein	-1.77	0.0021698863	972.61	-0.82
PA4529	coaE	dephosphocoenzyme A kinase	1.99	7.22E-18	378.32	0.99
PA4535		hypothetical protein	-3.01	3.45E-10	153.91	-1.59
PA4536		hypothetical protein	-2.84	2.22E-07	69.12	-1.50
PA4537		hypothetical protein	-2.13	1.14E-05	66.68	-1.09
PA4542	clpB	ClpB protein	-2.60	0.0030778931	2165.14	-1.38
PA4543		conserved hypothetical protein	4.85	2.22E-22	315.44	2.28
PA4544	rluD	pseudouridine synthase	6.55	2.25E-101	1562.63	2.71
PA4545	comL	competence protein ComL	4.79	1.04E-51	2541.19	2.26
PA4547	pilR	two-component response regulator PilR	-3.84	4.03E-05	246.42	-1.94
PA4549	fimT	type 4 fimbrial biogenesis protein FimT	-3.66	0.0094192885	6.28	-1.87
PA4554	pilY1	type 4 fimbrial biogenesis protein PilY1	-2.26	1.95E-07	1252.80	-1.18
PA4556	pilE	type 4 fimbrial biogenesis protein PilE	-1.61	7.46E-05	252.01	-0.69
PA4557	lytB	LytB protein	3.91	3.06E-10	1019.14	1.97
PA4559	lspA	prolipoprotein signal peptidase	1.73	0.011402055	390.56	0.79
PA4560	ileS	isoleucyl-tRNA synthetase	1.94	6.39E-05	3544.31	0.96
PA4561	ribF	riboflavin kinase/FAD synthase	3.12	8.46E-37	884.43	1.64
PA4562		conserved hypothetical protein	2.72	1.01E-22	251.47	1.45
PA4563	rpsT	30S ribosomal protein S20	2.82	8.49E-09	4303.40	1.50
PA4564		conserved hypothetical protein	5.84	1.57E-99	565.95	2.55
PA4565	proB	glutamate 5-kinase	7.51	1.05E-140	2337.16	2.91
PA4566	obg	GTP-binding protein Obg	10.11	2.04E-167	4853.78	3.34
PA4567	rpmA	50S ribosomal protein L27	12.93	6.39E-49	12392.35	3.69
PA4568	rplU	50S ribosomal protein L21	10.92	1.13E-38	14053.03	3.45
PA4569	ispB	octaprenyl-diphosphate synthase	1.66	3.85E-08	982.82	0.73
PA4570		hypothetical protein	-4.85	0.0002737329	1814.19	-2.28
PA4571		probable cytochrome c	4.67	0.0027677301	414.52	2.22
PA4572	fklB	peptidyl-prolyl cis-trans isomerase FklB	6.12	2.75E-43	992.05	2.61
PA4573		hypothetical protein	2.48	0.0018475162	212.75	1.31
PA4574		conserved hypothetical protein	17.72	3.81E-102	1276.84	4.15
PA4575		hypothetical protein	-2.33	1.37E-07	69.21	-1.22
PA4576		probable ATP-dependent protease	-1.97	7.01E-09	1382.36	-0.98
PA4578		hypothetical protein	-3.56	1.46E-32	2609.45	-1.83
PA4579		hypothetical protein	-4.27	5.27E-17	404.39	-2.09
PA4580		conserved hypothetical protein	1.58	0.0132019785	181.56	0.66
PA4581	rtcR	transcriptional regulator RtcR	1.57	0.0004069413	181.22	0.65
PA4582		conserved hypothetical protein	1.70	1.65E-05	328.07	0.76
PA4583		conserved hypothetical protein	2.12	1.73E-19	387.88	1.08
PA4584		conserved hypothetical protein	1.92	2.11E-07	200.66	0.94
PA4585	rtcA	RNA 3'-terminal phosphate cyclase	1.94	3.33E-05	152.70	0.95
PA4586		hypothetical protein	2.27	0.0003062338	26.15	1.18
PA4588	gdhA	glutamate dehydrogenase	1.71	1.46E-07	389.61	0.77
PA4589		probable outer membrane protein precursor	-4.05	4.86E-15	78.12	-2.02
PA4590	pra	protein activator	-12.90	4.87E-13	194.85	-3.69
PA4591		hypothetical protein	-1.90	0.000298888	64.34	-0.93
PA4592		probable outer membrane protein precursor	-1.59	0.0008569712	105.57	-0.67
PA4594		probable ATP-binding component of ABC transporter	-3.01	8.47E-12	98.79	-1.59
PA4599	mexC	Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexC precursor	2.18	0.0012468314	39.44	1.12
PA4600	nfxB	transcriptional regulator NfxB	2.16	7.26E-11	209.11	1.11
PA4601	morA	motility regulator	-1.58	0.015169401	352.42	-0.66
PA4602	glyA3	serine hydroxymethyltransferase	4.52	4.30E-32	3140.54	2.18
PA4603		hypothetical protein	2.98	1.63E-06	104.79	1.58
PA4604		conserved hypothetical protein	2.01	0.0005819067	351.51	1.01
PA4605		conserved hypothetical protein	2.64	1.80E-05	352.18	1.40
PA4607		hypothetical protein	-39.64	9.72E-21	5053.03	-5.31
PA4608		hypothetical protein	-5.61	1.44E-15	204.47	-2.49
PA4610		hypothetical protein	5.01	0.0123213203	27.45	2.33
PA4611		hypothetical protein	-7.31	4.43E-07	340.65	-2.87
PA4612		conserved hypothetical protein	-1.97	0.0043296129	28.06	-0.98
PA4614	mscL	conductance mechanosensitive channel	-1.69	0.0139969111	1765.76	-0.76
PA4616		probable c4-dicarboxylate-binding protein	7.51	1.45E-13	285.85	2.91
PA4617		conserved hypothetical protein	2.49	2.90E-12	318.95	1.32
PA4619		probable c-type cytochrome	2.11	0.0001287231	143.96	1.08
PA4620		hypothetical protein	5.52	6.35E-10	51.21	2.46
PA4621		probable oxidoreductase	4.87	1.14E-24	287.31	2.29
PA4624	cdrB	cyclic diguanylate-regulated TPS partner B, CdrB	-1.86	0.0460462263	390.86	-0.89
PA4626	hprA	glycerate dehydrogenase	1.84	4.38E-06	138.58	0.88
PA4627		conserved hypothetical protein	2.37	1.52E-08	188.05	1.25
PA4628	lysP	lysine-specific permease	3.26	3.30E-06	345.69	1.70
PA4629		hypothetical protein	4.65	7.25E-37	201.88	2.22
PA4631		hypothetical protein	1.52	7.37E-06	691.45	0.60
PA4632		hypothetical protein	1.50	0.0003011844	1056.33	0.59
PA4633		probable chemotaxis transducer	1.62	0.0257941934	929.27	0.70
PA4634		hypothetical protein	2.72	2.24E-14	112.88	1.44
PA4635		conserved hypothetical protein	4.31	1.46E-05	97.07	2.11
PA4636		hypothetical protein	2.04	1.37E-06	732.82	1.03
PA4637		hypothetical protein	6.45	6.09E-11	192.41	2.69
PA4640	mqoB	malate:quinone oxidoreductase	2.65	4.58E-14	2938.46	1.41
PA4643		hypothetical protein	2.15	2.84E-11	213.74	1.11
PA4644		hypothetical protein	6.40	1.41E-29	356.07	2.68
PA4645		probable purine/pyrimidine phosphoribosyl transferase	2.65	1.83E-12	604.93	1.41
PA4648	cupE1	Pilin subunit CupE1	-17.00	3.79E-09	174.03	-4.09
PA4649	cupE2	Pilin subunit CupE2	-35.18	9.26E-09	51.95	-5.14
PA4650	cupE3	Pilin subunit CupE3	-15.54	1.11E-06	26.04	-3.96
PA4651	cupE4	Pilin assembly chaperone CupE4	-31.48	1.54E-11	108.79	-4.98
PA4652	cupE5	Fimbrial usher protein CupE5	-22.63	3.57E-12	85.81	-4.50
PA4653	cupE6	Adhesin-like protein CupE6	-20.26	5.03E-08	44.18	-4.34
PA4655	hemH	ferrochelatase	1.67	0.008217698	580.95	0.74
PA4656		conserved hypothetical protein	1.93	0.0024113965	491.50	0.95
PA4657		hypothetical protein	-3.75	1.10E-14	347.75	-1.91
PA4658		hypothetical protein	-2.36	2.66E-12	109.68	-1.24
PA4659		probable transcriptional regulator	-1.73	0.0040595984	58.81	-0.79
PA4660	phr	deoxyribodipyrimidine photolyase	-1.62	8.76E-05	140.91	-0.70
PA4662	murI	glutamate racemase	2.40	0.0019238168	408.59	1.26
PA4663	moeB	molybdopterin biosynthesis MoeB protein	2.70	1.73E-06	372.41	1.43
PA4664	prmC	S-adenosylmethionine-dependent methyltransferase, PrmC	4.18	2.10E-11	598.84	2.06
PA4665	prfA	peptide chain release factor 1	3.37	1.79E-11	823.88	1.75
PA4666	hemA	glutamyl-tRNA reductase	3.01	1.08E-17	782.45	1.59
PA4669	ipk	isopentenyl monophosphate kinase	4.42	1.35E-14	5343.56	2.14
PA4670	prs	ribose-phosphate pyrophosphokinase	7.00	2.56E-53	10256.75	2.81
PA4671		probable ribosomal protein L25	10.04	1.71E-16	20408.93	3.33
PA4672		peptidyl-tRNA hydrolase	10.21	7.36E-46	1358.00	3.35
PA4673		conserved hypothetical protein	7.61	9.92E-17	2229.44	2.93
PA4675	chtA	ChtA	3.04	3.11E-07	1552.66	1.60
PA4677		hypothetical protein	-4.46	5.62E-23	223.72	-2.16
PA4678	rimI	peptide n-acetyltransferase RimI	1.55	0.0275016019	106.64	0.63
PA4680		hypothetical protein	-4.23	0.0042064292	16.39	-2.08
PA4684		hypothetical protein	2.45	5.85E-13	375.19	1.29
PA4686		hypothetical protein	2.20	0.0001889842	1165.35	1.13
PA4687	hitA	ferric iron-binding periplasmic protein HitA	-1.54	0.0182471551	709.42	-0.63
PA4688	hitB	iron (III)-transport system permease HitB	-2.01	0.0266637115	159.50	-1.01
PA4689		hypothetical protein	-1.61	0.0242288251	500.50	-0.68
PA4691		hypothetical protein	-1.62	0.0101525817	36.85	-0.69
PA4692		conserved hypothetical protein	-2.03	3.38E-09	94.43	-1.02
PA4693	pssA	phosphatidylserine synthase	-2.23	5.13E-09	801.37	-1.16
PA4697		hypothetical protein	1.80	7.66E-11	301.46	0.85
PA4698		hypothetical protein	2.90	8.13E-16	292.24	1.54
PA4699		hypothetical protein	2.05	1.46E-11	602.19	1.04
PA4700	mrcB	penicillin-binding protein 1B	2.10	5.21E-08	809.77	1.07
PA4702		hypothetical protein	-5.01	1.12E-06	59.87	-2.32
PA4703		hypothetical protein	-6.71	2.63E-05	37.46	-2.75
PA4705	phuW	PhuW	1.61	0.0099338655	261.16	0.69
PA4706	phuV	PhuV	1.67	0.0497239903	209.33	0.74
PA4707	phuU	PhuU	3.27	3.13E-05	355.85	1.71
PA4708	phuT	Heme-transport protein, PhuT	3.18	0.0002493327	936.98	1.67
PA4709	phuS	PhuS	3.77	0.0001097704	1392.30	1.92
PA4711		hypothetical protein	1.88	0.0180845695	85.12	0.91
PA4714		conserved hypothetical protein	-2.41	2.33E-07	263.39	-1.27
PA4715		probable aminotransferase	-5.01	2.13E-11	887.86	-2.32
PA4716		hypothetical protein	-2.01	1.22E-08	134.54	-1.01
PA4717		conserved hypothetical protein	-4.05	2.42E-18	238.73	-2.02
PA4718		hypothetical protein	2.48	3.04E-10	112.81	1.31
PA4719		probable transporter	7.78	1.31E-37	673.78	2.96
PA4720	trmA	tRNA (uracil-5-)-methyltransferase	3.86	3.98E-07	514.80	1.95
PA4723	dksA	suppressor protein DksA	2.32	2.46E-11	2585.26	1.22
PA4724		probable aminoacyl-transfer RNA synthetase (class I)	3.57	4.03E-37	267.01	1.83
PA4726	cbrB	two-component response regulator CbrB	-1.84	4.18E-12	535.92	-0.88
PA4727	pcnB	poly(A) polymerase	2.00	0.0049119534	1195.09	1.00
PA4728	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	3.07	5.51E-05	226.00	1.62
PA4733	acsB	acetyl-coenzyme A synthetase	-4.45	8.85E-11	399.93	-2.15
PA4734		hypothetical protein	-2.07	7.27E-12	187.69	-1.05
PA4735		hypothetical protein	-5.23	6.08E-15	984.07	-2.39
PA4736		hypothetical protein	-3.79	9.00E-12	103.02	-1.92
PA4737		hypothetical protein	-2.33	7.73E-05	88.74	-1.22
PA4738		conserved hypothetical protein	-7.30	0.000191639	598.75	-2.87
PA4739		conserved hypothetical protein	-8.05	3.24E-05	662.69	-3.01
PA4740	pnp	polyribonucleotide nucleotidyltransferase	1.97	0.0140114526	6534.28	0.98
PA4741	rpsO	30S ribosomal protein S15	6.14	9.82E-09	12392.18	2.62
PA4742	truB	tRNA pseudouridine 55 synthase	3.77	3.53E-16	1724.01	1.92
PA4743	rbfA	ribosome-binding factor A	5.78	7.51E-38	795.81	2.53
PA4744	infB	translation initiation factor IF-2	4.65	1.19E-20	13744.01	2.22
PA4745	nusA	N utilization substance protein A	4.80	6.62E-66	8237.23	2.26
PA4746		conserved hypothetical protein	7.46	1.26E-48	2146.64	2.90
PA4747	secG	secretion protein SecG	3.17	1.65E-10	3079.67	1.66
PA4748	tpiA	triosephosphate isomerase	3.92	8.05E-19	4902.54	1.97
PA4753		conserved hypothetical protein	2.56	7.98E-10	346.74	1.35
PA4756	carB	carbamoylphosphate synthetase large subunit	1.66	0.0196127913	2995.14	0.73
PA4757		conserved hypothetical protein	2.04	0.0001778124	275.96	1.03
PA4758	carA	carbamoyl-phosphate synthase small chain	2.44	1.07E-13	1463.22	1.29
PA4759	dapB	dihydrodipicolinate reductase	-3.50	1.65E-06	812.47	-1.81
PA4760	dnaJ	DnaJ protein	-3.05	0.0001253167	1212.46	-1.61
PA4761	dnaK	DnaK protein	-5.66	2.28E-06	8717.83	-2.50
PA4762	grpE	heat shock protein GrpE	-4.67	2.71E-05	1273.07	-2.22
PA4765	omlA	Outer membrane lipoprotein OmlA precursor	3.53	1.74E-25	1738.38	1.82
PA4766		conserved hypothetical protein	2.35	2.65E-11	141.17	1.23
PA4767		conserved hypothetical protein	1.63	2.36E-12	468.27	0.70
PA4768	smpB	SmpB protein	2.23	0.0001403196	431.98	1.16
PA4775		hypothetical protein	-2.01	0.0005568796	108.92	-1.01
PA4776	pmrA	PmrA: two-component regulator system response regulator PmrA	-1.99	0.010660275	66.52	-0.99
PA4777	pmrB	PmrB: two-component regulator system signal sensor kinase PmrB	-2.24	0.0002155083	59.25	-1.17
PA4778	cueR	CueR	-4.66	2.94E-60	618.61	-2.22
PA4780		conserved hypothetical protein	-2.05	1.53E-09	214.58	-1.04
PA4781		cyclic di-GMP phosphodiesterase	-8.99	8.37E-20	262.41	-3.17
PA4782		hypothetical protein	2.81	0.0001535967	68.30	1.49
PA4783		conserved hypothetical protein	3.29	3.25E-06	76.05	1.72
PA4784		probable transcriptional regulator	-2.70	5.16E-07	44.29	-1.43
PA4785		probable acyl-CoA thiolase	-2.09	0.0021700842	174.53	-1.06
PA4786		probable short-chain dehydrogenase	-2.28	0.0132335089	203.25	-1.19
PA4788		hypothetical protein	-16.39	3.42E-11	39.87	-4.04
PA4789		conserved hypothetical protein	2.91	6.16E-13	104.22	1.54
PA4790		conserved hypothetical protein	3.16	7.74E-20	120.95	1.66
PA4793		hypothetical protein	-2.28	5.51E-05	288.04	-1.19
PA4794		hypothetical protein	-1.91	0.0015726182	74.75	-0.93
PA4795		hypothetical protein	-2.57	0.0002468637	36.62	-1.36
PA4796		hypothetical protein	-3.33	0.0001256208	55.16	-1.74
PA4798		hypothetical protein	-3.98	2.88E-14	51.80	-1.99
PA4799		hypothetical protein	2.18	0.0029645302	29.53	1.13
PA4800		hypothetical protein	3.87	1.35E-10	75.41	1.95
PA4802		hypothetical protein	-2.40	8.59E-05	28.44	-1.26
PA4803		hypothetical protein	-2.73	5.25E-08	57.74	-1.45
PA4804		POTRA-like domain-containing usher, CupB3	1.54	0.0054520553	58.90	0.62
PA4807	selB	selenocysteine-specific elongation factor	-1.89	2.69E-10	274.71	-0.92
PA4808	selA	L-seryl-tRNA(ser) selenium transferase	-1.86	7.23E-14	315.94	-0.90
PA4809	fdhE	FdhE protein	2.40	2.50E-05	110.53	1.26
PA4810	fdnI	nitrate-inducible formate dehydrogenase, gamma subunit	5.13	5.52E-07	153.02	2.36
PA4811	fdnH	nitrate-inducible formate dehydrogenase, beta subunit	3.43	0.0016038736	350.81	1.78
PA4812	fdnG	formate dehydrogenase-O, major subunit	2.50	0.0059794999	1878.88	1.32
PA4815		hypothetical protein	1.65	0.0056501013	42.44	0.72
PA4816		hypothetical protein	1.71	0.0001155686	121.41	0.77
PA4817		hypothetical protein	4.04	1.19E-05	24.62	2.01
PA4818		conserved hypothetical protein	2.32	0.0095452801	17.68	1.22
PA4819		probable glycosyl transferase	2.81	0.0039088757	12.11	1.49
PA4821		probable transporter	2.67	4.54E-10	68.01	1.42
PA4822		hypothetical protein	3.65	0.0005897658	22.36	1.87
PA4824		hypothetical protein	8.69	0.0001273021	16.35	3.12
PA4825	mgtA	Mg(2+) transport ATPase, P-type 2	11.07	7.83E-15	228.62	3.47
PA4826		hypothetical protein	4.90	2.53E-09	178.84	2.29
PA4827		arylamine N-acetyltransferase	-4.50	1.09E-20	92.64	-2.17
PA4828		conserved hypothetical protein	-4.04	0.00043611	17.48	-2.02
PA4829	lpd3	dihydrolipoamide dehydrogenase 3	-1.80	0.0025367593	141.35	-0.84
PA4840		conserved hypothetical protein	3.64	2.18E-34	335.79	1.86
PA4841		conserved hypothetical protein	-4.28	2.44E-33	141.70	-2.10
PA4842		hypothetical protein	-3.47	6.40E-65	768.98	-1.80
PA4844	ctpL	CtpL	1.83	0.0083932648	67.45	0.87
PA4845	dipZ	thiol:disulfide interchange protein DipZ	1.80	4.46E-11	350.24	0.85
PA4850	prmA	ribosomal protein L11 methyltransferase	2.48	1.50E-18	571.43	1.31
PA4851		hypothetical protein	2.37	1.70E-21	808.49	1.25
PA4852		conserved hypothetical protein	5.93	1.93E-23	2452.96	2.57
PA4853	fis	DNA-binding protein Fis	5.77	3.17E-27	780.36	2.53
PA4854	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase	3.74	2.44E-11	1756.54	1.90
PA4855	purD	phosphoribosylamine--glycine ligase	6.86	2.11E-14	1258.94	2.78
PA4857	tspR	TspR	2.01	0.0095563542	48.44	1.00
PA4863		hypothetical protein	-2.17	0.0141911187	53.95	-1.11
PA4864	ureD	urease accessory protein	-1.98	0.0289133621	41.78	-0.98
PA4865	ureA	urease gamma subunit	-4.13	0.0013047958	20.03	-2.05
PA4866		conserved hypothetical protein	-8.07	1.90E-12	44.69	-3.01
PA4867	ureB	urease beta subunit	-8.90	1.43E-08	27.25	-3.15
PA4868	ureC	urease alpha subunit	-8.72	1.67E-26	177.06	-3.12
PA4869		hypothetical protein	-2.17	3.93E-07	158.36	-1.12
PA4870		conserved hypothetical protein	-2.87	8.28E-07	51.81	-1.52
PA4871		hypothetical protein	1.65	0.0334010929	36.91	0.72
PA4873		probable heat-shock protein	6.05	3.31E-15	200.34	2.60
PA4874		conserved hypothetical protein	-11.09	3.10E-26	591.27	-3.47
